# timestamp,mag_x,mag_y,mag_z
1531207361072,-31.1875,6.1875,13.75
1531207361082,-31.1875,5.625,13.625
1531207361092,-31.1875,6.1875,13.4375
1531207361102,-31.4375,6.5,14.1875
1531207361112,-31.875,6.9375,14.5
1531207361122,-31.75,6.9375,14.1875
1531207361132,-31.5,7.25,14.1875
1531207361142,-31.3125,6.375,14.375
1531207361153,-31.3125,5.875,14.0625
1531207361162,-31.3125,5.625,14.1875
1531207361172,-31.4375,5.625,14.5
1531207361182,-31.875,5.4375,14.5
1531207361192,-31.4375,6.0625,14.375
1531207361202,-31.4375,6.1875,14.6875
1531207361212,-31.4375,6.1875,14.6875
1531207361222,-31.5625,6.0625,14.375
1531207361232,-31.3125,6.625,14.9375
1531207361242,-31.4375,6.5,15.125
1531207361252,-31.3125,6.375,15.125
1531207361262,-31.3125,6.375,15.125
1531207361272,-31.0,6.3125,15.25
1531207361282,-31.0,5.875,14.5
1531207361292,-31.4375,5.4375,14.6875
1531207361302,-31.3125,5.4375,14.375
1531207361312,-31.3125,5.875,14.375
1531207361322,-31.5625,6.0625,14.375
1531207361332,-31.75,6.1875,14.8125
1531207361342,-31.75,6.6875,14.375
1531207361352,-32.0,6.8125,14.375
1531207361362,-31.875,6.6875,14.1875
1531207361372,-31.75,6.5,14.0625
1531207361382,-31.75,6.375,13.9375
1531207361392,-31.4375,6.0625,14.1875
1531207361402,-31.3125,6.375,14.375
1531207361412,-31.4375,6.375,14.1875
1531207361422,-31.3125,6.9375,14.0625
1531207361432,-31.1875,6.8125,14.0625
1531207361442,-31.0625,6.9375,13.9375
1531207361451,-31.0625,6.8125,13.9375
1531207361462,-31.0625,6.9375,14.1875
1531207361471,-31.0625,6.5,14.5
1531207361482,-31.0625,6.625,14.6875
1531207361492,-31.0625,6.5,14.9375
1531207361502,-31.0625,6.5,15.125
1531207361511,-31.0625,6.5,14.9375
1531207361522,-31.0625,6.625,14.6875
1531207361531,-31.0625,6.8125,14.1875
1531207361541,-31.1875,6.9375,14.1875
1531207361551,-31.3125,7.125,14.0625
1531207361562,-31.3125,6.9375,14.1875
1531207361573,-31.1875,6.9375,14.5
1531207361583,-31.4375,6.625,14.5
1531207361593,-31.75,6.6875,14.375
1531207361602,-31.625,6.375,14.375
1531207361612,-31.625,6.5,14.0625
1531207361622,-31.75,6.0625,14.1875
1531207361632,-31.1875,6.0625,14.5
1531207361642,-31.3125,6.375,14.375
